,name,owner,resolver_address,associated_address,contenthash,content_cid,name_cid,owner_cid,associated_address_cid
66336,0-1337.eth,0x8F82De72659D5a1670d3Db7C440A8E0a6E925E02,0x4976fb03C32e5B8cfe2b6cCB31c09Ba78EBaBa41,,e30101701220d6f0e0d157170f52052e3f81bdafafb2e3d484a6d67519363dcaab92e53611ca,QmcogzR9ouQJDgsiaTWWze4ndMLkn6gewRqKVWeKXVozh7,QmUwjXxYcgk1j2Eh7jiVtgSGn3hmLHWoqNDLTonts6hJV8,QmQk5wC2ZVcHme63hyuc4jhPtZA2z3c9YdazqqTQGZEkfH,
71908,0000x.eth,0x77C9e49073d9830723195f3788570c2c36c97688,0x4976fb03C32e5B8cfe2b6cCB31c09Ba78EBaBa41,0x77C9e49073d9830723195f3788570c2c36c97688,e301017012203c7939754cbfabd4a7932a740b2af3ced2a47bf0b3d20339e5c3882c3f306a7a,QmSQiPAPaT5E9y41VgHhc5kFRhRFSvZ95d5sBzH6VJwdPo,QmVzMe3mUGLB68Lz5wpQcfjab8akjQj7SdoE1ioAzfiw6E,QmZnQD7eayt3mZ1F6KcEWXKnubAd6igHC5ekjXhzVWVDsW,QmZnQD7eayt3mZ1F6KcEWXKnubAd6igHC5ekjXhzVWVDsW
75760,0008a.eth,0x88441DCD4Bc985965e69ecf5A454B04DC84eD876,0x4976fb03C32e5B8cfe2b6cCB31c09Ba78EBaBa41,0x88441DCD4Bc985965e69ecf5A454B04DC84eD876,e30101701220cdaf3eb20495dacca5225a9a0838207af7d268efe53639d7fbd361d37123eb9b,QmcBZGuZCQsd5zuumVRuLhXnhkWjWJiXtmcE9XQVsAXV8N,Qmawaesea9bHkCMmZupyMn5pbVgAJjKVM3MS2rUqZ1GhKf,QmRqj1dW29fnzY3fakYNr4tiqsiGF7LDSRsMb5cNbBv2BU,QmRqj1dW29fnzY3fakYNr4tiqsiGF7LDSRsMb5cNbBv2BU
78545,001x0.eth,0x338571a641d8c43F9e5A306300c5d89E0CB2CFAF,0x4976fb03C32e5B8cfe2b6cCB31c09Ba78EBaBa41,0x338571a641d8c43F9e5A306300c5d89E0CB2CFAF,e301017012209668df055d7566e1631a6db9d66015204a62bf1e923ca755448722f9d205ec0e,QmYTncViYfeLbyHS6EECfUoRW3kjqrbiUmKbZLZEXUmA6R,QmXk8AcZzo88TBa1TiJT3uLzcKnTY8DTyVa7euFmMh9qYw,QmYKYMxyQ1HopockUxdkxpLmq1qM4th9QvKSh6BmsVXF1q,QmYKYMxyQ1HopockUxdkxpLmq1qM4th9QvKSh6BmsVXF1q
79540,002511.eth,0x4E99f6Fdb8B5a3A292aa2194c970c2A612469Fe2,0x4976fb03C32e5B8cfe2b6cCB31c09Ba78EBaBa41,0x4E99f6Fdb8B5a3A292aa2194c970c2A612469Fe2,e301017012205952f152144216dfc3267c1f44130f123566023b0af3084daaa7e380156fd40f,QmUMLME8Lkipg1cqw8m3pwpWHhRN34ioFEbjbhw46oqkN2,QmNbqwb5T2oWTUjWMRWxUBAGYUvy3v6Ta7SHaz83Yo9TT6,QmYguMgvyupm56PwfM4D1ci16sg16rkkkfBcto2tWd2t2J,QmYguMgvyupm56PwfM4D1ci16sg16rkkkfBcto2tWd2t2J
79628,00258.eth,0x9e6D2A36fa88E5123fD09d22F00e4E9ca8669999,0x4976fb03C32e5B8cfe2b6cCB31c09Ba78EBaBa41,0x9e6D2A36fa88E5123fD09d22F00e4E9ca8669999,e301017012200429cb961fb23fd71947c477c881f6367129f4dba3456200c46348e113ce5ee2,QmNcuJbp2YLK6BmhdTniVsjjfxcgP16dGBKZeUHQQ6vHqB,QmUhnpZg3Wvz3eSTrAj66xVa3xrKb62CF63V5zWwu6Z3pa,QmVGYpBjDxnbYJiLogFAQeo9AQcZrAx8EvwcK3pV7EZkof,QmVGYpBjDxnbYJiLogFAQeo9AQcZrAx8EvwcK3pV7EZkof
89745,0089.eth,0xFebfecE019b5E2e42C3839dCbEA87EEDac9ac365,0x4976fb03C32e5B8cfe2b6cCB31c09Ba78EBaBa41,0xFebfecE019b5E2e42C3839dCbEA87EEDac9ac365,e301017012200676503f43d887c1e1d20c23d988d4d94174d18c9b3d268d8528a853111c695c,QmNmsnw5FpncDeUvJ3ZRFY3YtvEYWoCHWvgjEwjV41gUjM,QmSTGTAnKY5n3Xz4DEY1oWEmrVPuAXTp469L4bGVWyiX12,QmQukSX9AVEr7F4Jp4zKivhzxmpoZEEnEhiZqiWkEyhKKF,QmQukSX9AVEr7F4Jp4zKivhzxmpoZEEnEhiZqiWkEyhKKF
96279,0123a.eth,0x9aE6B470D238a4ab42cAc5fEB27CAA5A19F89510,0x4976fb03C32e5B8cfe2b6cCB31c09Ba78EBaBa41,0x9aE6B470D238a4ab42cAc5fEB27CAA5A19F89510,e30101701220c801aa770d8313b86fe43cb08472166a71f52f5ca9a1c95785b66e7ea8708bb4,QmboPirQwrzimcSfGbeRHxySy4sH19ZmoJywVSf7bH7n8T,QmaUedgdJdVrzAEGud28YFNAv6cuwnbdxBgG4WktfZNpSZ,QmV4WBsX3F7GRyFq2R6vMU9mXGDzxDxZwNgPt1oTBxZqgH,QmV4WBsX3F7GRyFq2R6vMU9mXGDzxDxZwNgPt1oTBxZqgH
97220,014°.eth,0x70635102CF3B7D32FE0a1221b412Cb4b172A2b2f,0x4976fb03C32e5B8cfe2b6cCB31c09Ba78EBaBa41,0x70635102CF3B7D32FE0a1221b412Cb4b172A2b2f,e3010170122086f1db4d21efaa7220ad3ec4460ac2b97b0a8843ee90ddbfa2b7b17d8c83afa8,QmXRREtZRWsppmHwJqFYW9RfazaWh5mob5iRBgX1GLtcF9,QmWRhM2YPtfZbLNaW4Fk2JLuQBBFWNXDzWyzrYazYieE4r,QmTZkZP7iuth5yrevRAwLwcQL4JjSk78rypc9mdTETRTRA,QmTZkZP7iuth5yrevRAwLwcQL4JjSk78rypc9mdTETRTRA
99057,01x01.eth,0x8F82De72659D5a1670d3Db7C440A8E0a6E925E02,0x4976fb03C32e5B8cfe2b6cCB31c09Ba78EBaBa41,0x8F82De72659D5a1670d3Db7C440A8E0a6E925E02,e30101701220d6f0e0d157170f52052e3f81bdafafb2e3d484a6d67519363dcaab92e53611ca,QmcogzR9ouQJDgsiaTWWze4ndMLkn6gewRqKVWeKXVozh7,QmSF6D6bPeR4FF8MiJgYYY5prufPh3B17g2bmpxZkFzWqy,QmQk5wC2ZVcHme63hyuc4jhPtZA2z3c9YdazqqTQGZEkfH,QmQk5wC2ZVcHme63hyuc4jhPtZA2z3c9YdazqqTQGZEkfH
